id,product_name,product_category,price,product_url,image_url,description,color
74,LILL,curtains,399,https://www.ikea.com/in/en/p/lill-net-curtains-1-pair-white-70171927/,https://www.ikea.com/in/en/images/products/lill-net-curtains-1-pair-white__0099863_pe242253_s5.jpg?f=xxs,"Net curtains, 1 pair, 280x250 cm (110x98 ")",White
75,KRONMAL,curtains,799,https://www.ikea.com/in/en/p/kronmal-sheer-curtains-1-pair-dot-pattern-white-80511460/,https://www.ikea.com/in/en/images/products/kronmal-sheer-curtains-1-pair-dot-pattern-white__1023920_pe833353_s5.jpg?f=xxs,"Sheer curtains, 1 pair, 145x250 cm (57x98 ")",Gray
76,BUSKMÄTARE,curtains,999,https://www.ikea.com/in/en/p/buskmaetare-curtains-1-pair-leaf-patterned-green-50488606/,https://www.ikea.com/in/en/images/products/buskmaetare-curtains-1-pair-leaf-patterned-green__0964986_pe809309_s5.jpg?f=xxs,"Curtains, 1 pair, 145x150 cm (57x59 ")",Gray
77,SANDDÅDRA,curtains,999,https://www.ikea.com/in/en/p/sanddadra-sheer-curtains-1-pair-green-70551362/,https://www.ikea.com/in/en/images/products/sanddadra-sheer-curtains-1-pair-green__1153830_pe885867_s5.jpg?f=xxs,"Sheer curtains, 1 pair, 145x250 cm (57x98 ")",Gray
78,ADELHILD,curtains,1190,https://www.ikea.com/in/en/p/adelhild-curtains-1-pair-white-turquoise-00507513/,https://www.ikea.com/in/en/images/products/adelhild-curtains-1-pair-white-turquoise__0992388_pe819992_s5.jpg?f=xxs,"Curtains, 1 pair, 145x150 cm (57x59 ")",Turquoise
79,SANELA,curtains,4990,https://www.ikea.com/in/en/p/sanela-curtains-1-pair-light-beige-00589877/,https://www.ikea.com/in/en/images/products/sanela-curtains-1-pair-light-beige__1280039_pe931640_s5.jpg?f=xxs,"Curtains, 1 pair, 140x250 cm (55x98 ")",Beige
80,HILJA,curtains,1190,https://www.ikea.com/in/en/p/hilja-curtains-1-pair-white-70430817/,https://www.ikea.com/in/en/images/products/hilja-curtains-1-pair-white__0627420_pe693352_s5.jpg?f=xxs,"Curtains, 1 pair, 145x250 cm (57x98 ")",Gray
81,HÄCKBERBERIS,curtains,2990,https://www.ikea.com/in/en/p/haeckberberis-room-darkening-curtains-1-pair-beige-20551393/,https://www.ikea.com/in/en/images/products/haeckberberis-room-darkening-curtains-1-pair-beige__1138207_pe879887_s5.jpg?f=xxs,"Room darkening curtains, 1 pair, 145x250 cm (57x98 ")",Beige
82,MOALINA,curtains,1590,https://www.ikea.com/in/en/p/moalina-curtains-1-pair-beige-10491050/,https://www.ikea.com/in/en/images/products/moalina-curtains-1-pair-beige__0924019_pe788479_s5.jpg?f=xxs,"Curtains, 1 pair, 145x250 cm (57x98 ")",Apricot
83,LÖNNSTÄVMAL,curtains,4990,https://www.ikea.com/in/en/p/loennstaevmal-block-out-curtains-1-pair-beige-00556377/,https://www.ikea.com/in/en/images/products/loennstaevmal-block-out-curtains-1-pair-beige__1166547_pe891165_s5.jpg?f=xxs,"Block-out curtains, 1 pair, 145x250 cm (57x98 ")",Beige
84,GLASÖRT,curtains,1249,https://www.ikea.com/in/en/p/glasoert-sheer-curtain-1-piece-light-yellow-grey-turquoise-00573094/,https://www.ikea.com/in/en/images/products/glasoert-sheer-curtain-1-piece-light-yellow-grey-turquoise__1233113_pe916647_s5.jpg?f=xxs,"Sheer curtain, 1 piece, 300x250 cm (118x98 ")",Cream
85,BACKVISSLARE,curtains,1190,https://www.ikea.com/in/en/p/backvisslare-curtains-1-pair-blue-10488608/,https://www.ikea.com/in/en/images/products/backvisslare-curtains-1-pair-blue__0964966_pe809297_s5.jpg?f=xxs,"Curtains, 1 pair, 145x150 cm (57x59 ")",Gray
86,ÅKERKULLA,curtains,999,https://www.ikea.com/in/en/p/akerkulla-curtains-with-tie-backs-1-pair-grey-white-90418211/,https://www.ikea.com/in/en/images/products/akerkulla-curtains-with-tie-backs-1-pair-grey-white__0609285_pe684422_s5.jpg?f=xxs,"Curtains with tie-backs, 1 pair, 145x150 cm (57x59 ")",Gray
87,MAJSMOTT,curtains,2490,https://www.ikea.com/in/en/p/majsmott-curtains-1-pair-beige-white-90559772/,https://www.ikea.com/in/en/images/products/majsmott-curtains-1-pair-beige-white__1179983_pe896161_s5.jpg?f=xxs,"Curtains, 1 pair, 145x250 cm (57x98 ")",Beige
88,TERESIA,curtains,799,https://www.ikea.com/in/en/p/teresia-sheer-curtains-1-pair-white-70232332/,https://www.ikea.com/in/en/images/products/teresia-sheer-curtains-1-pair-white__0598868_pe677881_s5.jpg?f=xxs,"Sheer curtains, 1 pair, 145x250 cm (57x98 ")",White
